subscale,cv_r
IRI_Perspective_taking,-0.1262472362305875
IRI_Fantasy,0.1145607551443435
IRI_Empathic_concern,-0.097281376081897
IRI_Personal_distress,-0.0717914652516327
PANAS_Positive_Affect,-0.1546950254673443
PANAS_Negative_Affect,-0.1816688049869504
POM_Peace_of_Mind,-0.1367417722593483
BigFive_Extraversion,0.0034433773990225
BigFive_Agreeableness,-0.0854858502081106
BigFive_Conscientiousness,-0.0463546619996712
BigFive_Neuroticism,-0.0884449768941929
BigFive_Openness,-0.0795393396165642
SelfConst_Independent_self,-0.10917509664415
SelfConst_Interdependent_self,-0.0236011771462629
LifeSat_Life_Satisfaction,-0.1665726004666707
Lonely_Loneliness,0.0684774305042445
